lga_code,lga_name,ward_code,ward_name,polling_unit_code,polling_unit_name,address,registered_voters,lga_description,ward_description
1,Ajingi,1,Ajingi,01-01-001,"DUGWAL, NEAR WARD HEAD HOUSE I","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-002,"DUGWAL, NEAR WARD HEAD HOUSE II","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-003,"KUMAWA BORI, NEAR, W/H HOUSE","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-004,"MALIKAWA/ZARAWA, AJINGI YAMMA PS I","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-005,"MALIKAWA/ZARAWA, AJINGI YAMMA PS II","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-006,"MARAYAR SOBA, GIDAN MALAM","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-007,"S/G/MALIKAWA, AJINGI YAMMA PS I","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-008,"S/G/MALIKAWA, AJINGI YAMMA PS II","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-009,"S/G DUGWAL, AJINGI YAMMA PS I","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-010,"S/G DUGWAL, AJINGI YAMMA PS II","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-011,"S/G SAKALAWA, AJINGI YAMMA PS III","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-012,SAKALAWA C/GARI SAGALAWA P.S.,"Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-013,"UNG/AREWA, AJINGI LIBRARY I","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-014,"UNG/AREWA, AJINGI LIBRARY II","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-015,"UNG/AREWA, AJINGI LIBRARY III","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-016,"UNG/KUDU, AJINGI SP. S I","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-017,"UNG/KUDU, AJINGI SP. S II","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-018,"UNG/KUDU, AJINGI SP. S III","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-019,"UNG BORI, AJINGI DISPERSARY I","Ajingi, Ajingi, Kano",0,,
1,Ajingi,1,Ajingi,01-01-020,"UNG BORI, AJINGI DISPERSARY II","Ajingi, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-001,"ANCHACHA/KAUDAI, KAUDAI ROAD SIDE - (ROAD)","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-002,"BALARE GABAS, BALARE P. S. I","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-003,"BALARE GABAS, BALARE P. S. II","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-004,"BALARE GABAS, BALARE P. S. III","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-005,"BALARE YAMMA, BALARE P. S.","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-006,"CHIROMAWA, TSAMIYAR GAWO","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-007,"FULATAN C/GARI, FULANTAN PS","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-008,"FULANTAN GABAS, FULATAN CLINIC","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-009,"GYA DAWA/LABUJAN, LABUJAN PS.","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-010,"KAURA, TSAMIYAR,UBA","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-011,"SHADAKAJI/GARWA, SHADAKAJI PS","Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-012,TSE BURAWA GABAS/YAMMA W/H/ HOUSE,"Balare, Ajingi, Kano",0,,
1,Ajingi,2,Balare,01-02-013,"YANBAKON FULANI, Y/FULANI PS","Balare, Ajingi, Kano",0,,
1,Ajingi,3,Chula,01-03-001,CHULA C/GARI PS I,"Chula, Ajingi, Kano",0,,
1,Ajingi,3,Chula,01-03-002,CHULA C/GARI PS II,"Chula, Ajingi, Kano",0,,
1,Ajingi,3,Chula,01-03-003,CHULA C/GARI PS III,"Chula, Ajingi, Kano",0,,
1,Ajingi,3,Chula,01-03-004,"CHULA K/KAWO/KUDU,VILLAGE H/HOUSE I","Chula, Ajingi, Kano",0,,
1,Ajingi,3,Chula,01-03-005,"CHULA K/KAWO/KUDU,VILLAGE H/HOUSE II","Chula, Ajingi, Kano",0,,
